Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
En Funciones,ARACELI GERALDINA AGUIRRE DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARACELI_GERALDINA_AGUIRRE_DIAZ_52219.pdf
"Poder Judicial, Poder Legislativo",KAREN ANAID BONILLA ISLAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KAREN_ANAID_BONILLA_ISLAS_52291.pdf
Poder Ejecutivo,GABRIELA DELGADILLO ARRIAGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_DELGADILLO_ARRIAGA_52742.pdf
Poder Judicial,MARIA ESTELA ESPAÑA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ESTELA_ESPAÑA_GARCIA_53150.pdf
Poder Ejecutivo,JAZMIN GUERRERO PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAZMIN_GUERRERO_PEREZ_53564.pdf
Poder Legislativo,ADRIANA LETICIA HERNANDEZ ALVARADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_LETICIA_HERNANDEZ_ALVARADO_53424.pdf
Poder Legislativo,CLAUDIA MYRIAM MIRANDA SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_MYRIAM_MIRANDA_SANCHEZ_53844.pdf
En Funciones,LAURA ELIZABETH MIRANDA TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_ELIZABETH_MIRANDA_TORRES_53845.pdf
Poder Ejecutivo,IRLANDA GABRIELA PACHECO TORRES,
Poder Legislativo,NATALY PEREZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NATALY_PEREZ_HERNANDEZ_54462.pdf
Poder Judicial,LUISA AMANDA RIVERO ESPINOSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUISA_AMANDA_RIVERO_ESPINOSA_54367.pdf
Poder Judicial,NAYELI TELLO ALVAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NAYELI_TELLO_ALVAREZ_55197.pdf
Poder Legislativo,EDGAR IVAN CARRANCO ZUÑIGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_IVAN_CARRANCO_ZUÑIGA_52602.pdf
Poder Judicial,JUAN GOMEZ LEMUS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_GOMEZ_LEMUS_53183.pdf
En Funciones,JUAN JOSE HERNANDEZ LEYVA,
Poder Judicial,PEDRO LOPEZ JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PEDRO_LOPEZ_JUAREZ_54164.pdf
"Poder Ejecutivo, Poder Legislativo",JOSUE LUJANO ADALLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSUE_LUJANO_ADALLA_53829.pdf
Poder Ejecutivo,ANGEL OLVERA VILLAFAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGEL_OLVERA_VILLAFAN_54331.pdf
"Poder Judicial, Poder Legislativo",ROBERTO OMAR PAREDES GOROSTIETA FEMAT,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_OMAR_PAREDES_GOROSTIETA_FEMAT_54637.pdf
Poder Ejecutivo,RUBEN PONCE CALDERON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RUBEN_PONCE_CALDERON_54663.pdf
Poder Ejecutivo,JUAN QUINTERO ROJAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_QUINTERO_ROJAS_55177.pdf
